Класс;Код Клиента;Квартал
без предпочтений;1024172711;01.07.2016
непостоянные приверженцы;1024172711;01.10.2016
непостоянные приверженцы;1024172711;01.01.2017
активные приверженцы;1024172711;01.04.2017
активные приверженцы;1024172711;01.07.2017
непостоянные приверженцы;1024172711;01.10.2017
активные приверженцы;10252687719;01.01.2016
активные приверженцы;10252687719;01.04.2016
непостоянные приверженцы;10252687719;01.07.2016
непостоянные приверженцы;10252687719;01.10.2016
непостоянные приверженцы;10252687719;01.01.2017
активные приверженцы;10252687719;01.04.2017
непостоянные приверженцы;10252687719;01.07.2017
активные приверженцы;10252687719;01.10.2017
